"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",54229,7911,"Cell1","Batch1","Group2",54730.2601657789,"1","1"
"Cell2","SeuratProject",59789,8311,"Cell2","Batch1","Group1",60156.0861759808,"0","0"
"Cell3","SeuratProject",63832,8504,"Cell3","Batch1","Group3",63941.3644615961,"2","2"
"Cell4","SeuratProject",52346,7706,"Cell4","Batch1","Group3",52485.7144630266,"2","2"
"Cell5","SeuratProject",51976,7680,"Cell5","Batch1","Group1",52115.6080977101,"0","0"
"Cell6","SeuratProject",48648,7493,"Cell6","Batch1","Group3",48823.9885198831,"2","2"
"Cell7","SeuratProject",47885,7514,"Cell7","Batch1","Group1",48044.469905957,"0","0"
"Cell8","SeuratProject",42886,6992,"Cell8","Batch1","Group4",43320.2584526994,"3","3"
"Cell9","SeuratProject",90222,9946,"Cell9","Batch1","Group3",91983.0823479236,"2","2"
"Cell10","SeuratProject",51979,7728,"Cell10","Batch1","Group2",51866.7299657593,"1","1"
"Cell11","SeuratProject",71610,8995,"Cell11","Batch1","Group2",71657.5528402103,"1","1"
"Cell12","SeuratProject",48269,7521,"Cell12","Batch1","Group1",47571.3327938584,"0","0"
"Cell13","SeuratProject",48628,7550,"Cell13","Batch1","Group2",48623.3975877642,"1","1"
"Cell14","SeuratProject",59463,8312,"Cell14","Batch1","Group2",59125.4521589774,"1","1"
"Cell15","SeuratProject",78161,9298,"Cell15","Batch1","Group1",78869.2131523996,"0","0"
"Cell16","SeuratProject",67857,8783,"Cell16","Batch1","Group4",67821.7628480603,"3","3"
"Cell17","SeuratProject",52249,7755,"Cell17","Batch1","Group1",52100.8373055411,"0","0"
"Cell18","SeuratProject",63933,8592,"Cell18","Batch1","Group1",64181.6107706383,"0","0"
"Cell19","SeuratProject",42748,6958,"Cell19","Batch1","Group1",42950.906249105,"0","0"
"Cell20","SeuratProject",76672,9340,"Cell20","Batch1","Group2",76502.7536465843,"1","1"
"Cell21","SeuratProject",73190,9060,"Cell21","Batch1","Group1",73852.3083626827,"0","0"
"Cell22","SeuratProject",60461,8336,"Cell22","Batch1","Group1",60723.4383559924,"0","0"
"Cell23","SeuratProject",64768,8581,"Cell23","Batch1","Group2",64102.227855418,"1","1"
"Cell24","SeuratProject",54926,7884,"Cell24","Batch1","Group1",54644.8709254107,"0","0"
"Cell25","SeuratProject",63919,8575,"Cell25","Batch1","Group3",64375.1262899132,"2","2"
"Cell26","SeuratProject",65192,8576,"Cell26","Batch1","Group4",65262.8316172232,"3","3"
