"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene13585",2.06801189605281e-155,0.981647471401792,1,1,4.13602379210562e-151
"Gene17795",2.327132553266e-151,0.991315127748319,1,1,4.654265106532e-147
"Gene2170",4.1142984464153e-111,0.649483774059165,1,1,8.22859689283059e-107
"Gene6582",7.46043871895684e-104,0.646462758097399,1,1,1.49208774379137e-99
"Gene6352",2.38918796376571e-94,0.592268128410287,1,1,4.77837592753141e-90
"Gene7439",3.63477272308948e-93,0.516132335182074,1,1,7.26954544617896e-89
"Gene3376",2.21858445493308e-88,0.557883604832912,1,1,4.43716890986617e-84
"Gene7578",3.32768318168555e-81,0.500896979857649,1,1,6.65536636337111e-77
"Gene17566",7.38166432004397e-81,0.463962590615671,1,1,1.47633286400879e-76
"Gene13144",2.91914954448697e-76,0.411696796879592,1,1,5.83829908897393e-72
"Gene19986",1.20617086974605e-71,0.404724417434703,1,1,2.4123417394921e-67
"Gene16002",4.44031972250853e-70,0.61672314571883,0.998,0.991,8.88063944501707e-66
"Gene15251",1.2983182673968e-55,0.416531931291743,1,1,2.59663653479359e-51
"Gene11123",2.72506409676521e-55,0.545787345595558,0.998,0.979,5.45012819353042e-51
"Gene17797",2.57653314352894e-54,0.365721895844298,1,1,5.15306628705788e-50
"Gene8558",4.40756764617173e-54,0.420863859324846,1,1,8.81513529234347e-50
"Gene14675",5.88824874331058e-52,0.352503571095398,1,1,1.17764974866212e-47
"Gene15805",6.50441903097177e-51,0.511375584356869,0.998,0.991,1.30088380619435e-46
"Gene10251",9.02912236671314e-51,0.441671136956986,0.998,0.958,1.80582447334263e-46
"Gene8367",1.51010430825283e-49,0.512850558943708,0.991,0.935,3.02020861650566e-45
